Year-Month,Temp,Humidity,Percipitation,Dengue_count
2019-01,28.3,80,365.5,2687
2019-02,28.5,80.2,216.9,3209
2019-03,28.3,78.4,332.1,4048
2019-04,29.1,78.4,132.5,3207
2019-05,29.8,73.8,24.7,2821
2019-06,29.2,71.9,5,1700
2019-07,28.7,68.5,0,794
2019-08,28.3,68.6,0,370
2019-09,28.9,68.7,0,244
2019-10,29.5,69,1,225
2019-11,29.7,71,80,275
2019-12,28.7,79.1,509.3,351
2020-01,28.28,82,607.2,275
2020-02,27.92,83,784.5,628
2020-03,28.75,78,211.1,1310
2020-04,29.48,78,142.2,1028
2020-05,29.72,75,52.5,717
2020-06,29.61,74,63.3,350
2020-07,29.06,71,99.9,140
2020-08,29.34,70,77.9,75
2020-09,29.45,70,131.9,50
2020-10,29.15,73,98.3,36
2020-11,29.11,75,114.6,59
2020-12,28.13,74,236.5,60
