Provinsi,2018,2019,2020,2021,2022,2023,2024
Aceh,5243.4,5316.3,5554.8,5274.9,5334.9,5409.2,5554.8
Bali,4309.2,4362.0,4433.3,4317.4,4343.4,4374.3,4433.3
Banten,12530.8,12714.3,12431.4,11904.6,12023.0,12167.0,12431.4
Bengkulu,1948.6,1971.8,2112.2,2010.7,2032.4,2059.4,2112.2
DI Yogyakarta,3818.3,3868.6,3759.5,3668.7,3687.8,3712.6,3759.5
DKI Jakarta,10428.0,10504.1,10684.9,10562.1,10605.4,10640.0,10684.9
Gorontalo,1166.1,1176.4,1227.8,1171.7,1183.5,1198.4,1227.8
Indonesia,264161.6,266911.9,281603.8,270203.9,272679.2,275719.9,281603.8
Jambi,3527.1,3566.2,3724.3,3548.2,3586.4,3633.2,3724.3
Jawa Barat,48475.5,49023.2,50345.2,48274.2,48738.8,49306.8,50345.2
Jawa Tengah,34358.5,34552.5,37892.3,36516.0,36811.1,37180.4,37892.3
Jawa Timur,39521.9,39744.8,41814.5,40665.7,40921.1,41230.0,41814.5
Kalimantan Barat,4985.1,5045.7,5695.5,5414.4,5474.7,5549.7,5695.5
Kalimantan Selatan,4162.4,4216.3,4273.4,4073.6,4116.9,4170.2,4273.4
Kalimantan Tengah,2612.6,2649.8,2809.7,2670.0,2700.1,2737.2,2809.7
Kalimantan Timur,3573.8,3619.7,4045.9,3766.0,3803.5,3856.8,4045.9
Kalimantan Utara,682.8,695.6,739.8,701.8,710.0,720.1,739.8
Kep. Bangka Belitung,1432.1,1451.1,1531.5,1455.7,1471.8,1492.0,1531.5
Kep. Riau,2174.8,2241.6,2183.3,2064.6,2089.9,2121.5,2183.3
Lampung,8377.7,8457.6,9419.6,9007.8,4438.6,4496.6,9419.6
Maluku,1749.5,1768.5,1945.6,1848.9,1869.5,1895.1,1945.6
Maluku Utara,1218.8,1235.7,1355.6,1282.9,1299.6,1318.5,1355.6
Nusa Tenggara Barat,5077.7,5152.4,5646.0,5320.1,5387.2,5474.0,5646.0
Nusa Tenggara Timur,5360.3,5437.2,5656.0,5325.6,5394.4,5481.8,5656.0
Papua,3300.2,3347.1,4542.6,4303.7,4356.8,4429.7,4542.6
Papua Barat,941.4,963.6,1205.8,1134.1,1149.4,1168.4,1205.8
Riau,6717.6,6835.1,6728.1,6394.1,6466.8,6555.8,6728.1
Sulawesi Barat,1340.1,1359.2,1503.2,1419.2,1436.7,1458.9,1503.2
Sulawesi Selatan,8748.1,8819.5,9463.4,9073.5,9156.9,9260.1,9463.4
Sulawesi Tengah,3001.9,3042.1,3121.8,2985.7,3015.0,3051.2,3121.8
Sulawesi Tenggara,2623.6,2663.7,2793.1,2624.9,2659.9,2704.6,2793.1
Sulawesi Utara,2474.4,2494.1,2701.8,2621.9,2639.5,2660.8,2701.8
Sumatera Barat,5411.8,5479.5,5836.2,5534.5,5597.3,5677.6,5836.2
Sumatera Selatan,8391.5,8497.2,8837.3,8467.4,8548.6,8647.3,8837.3
Sumatera Utara,14476.0,14639.4,15588.5,14799.4,14970.5,15180.5,15588.5
