Province,2018,2019,2020,2021,2022,2023,2024
Aceh,1522.0,2362.0,0.0,353.0,2006.0,2102.0,3380.0
Bali,908.0,5008.0,12107.0,2582.0,5537.0,6794.0,14933.0
Banten,1010.0,2867.0,2747.0,1940.0,4794.0,3764.0,12547.0
Bengkulu,1408.0,1464.0,1335.0,625.0,1335.0,926.0,3151.0
DI Yogyakarta,549.0,3323.0,3504.0,1097.0,1984.0,638.0,3669.0
DKI Jakarta,2954.0,8661.0,4765.0,3063.0,8057.0,3859.0,13092.0
Gorontalo,800.0,1194.0,958.0,546.0,570.0,674.0,2327.0
Indonesia (national average),65380.0,137540.0,112642.0,72955.0,142120.0,114038.0,258878.0
Jambi,711.0,2123.0,2074.0,348.0,1344.0,1382.0,2306.0
Jawa Barat,8697.0,23345.0,22806.0,23075.0,35233.0,18623.0,59810.0
Jawa Tengah,3120.0,9080.0,6176.0,4674.0,13086.0,7023.0,18867.0
Jawa Timur,8454.0,18418.0,8990.0,6832.0,13422.0,9561.0,32962.0
Kalimantan Barat,3087.0,2785.0,871.0,698.0,1451.0,9469.0,2701.0
Kalimantan Selatan,1991.0,2365.0,1756.0,167.0,955.0,2898.0,3090.0
Kalimantan Tengah,2205.0,1577.0,680.0,184.0,871.0,4738.0,3990.0
Kalimantan Timur,3138.0,6539.0,2452.0,2941.0,5967.0,5682.0,11493.0
Kalimantan Utara,164.0,1662.0,496.0,167.0,1287.0,949.0,627.0
Kepulauan Bangka Belitung,746.0,986.0,1155.0,846.0,1844.0,1303.0,1900.0
Kepulauan Riau,1225.0,1909.0,1707.0,1670.0,1907.0,614.0,1418.0
Lampung,2874.0,5618.0,7046.0,2378.0,2383.0,1120.0,9680.0
Maluku,313.0,231.0,82.0,174.0,98.0,270.0,417.0
Maluku Utara,109.0,1176.0,450.0,322.0,630.0,811.0,1120.0
Nusa Tenggara Barat,542.0,3019.0,5200.0,2708.0,3270.0,3479.0,4321.0
Nusa Tenggara Timur,1330.0,4045.0,6092.0,2418.0,2949.0,2535.0,3883.0
Papua,192.0,591.0,227.0,125.0,667.0,1109.0,2460.0
Papua Barat,229.0,355.0,200.0,166.0,326.0,2178.0,797.0
Riau,905.0,4045.0,2785.0,940.0,2134.0,1935.0,2911.0
Sulawesi Barat,526.0,784.0,673.0,345.0,686.0,1213.0,2581.0
Sulawesi Selatan,2108.0,3254.0,2877.0,3629.0,3615.0,2752.0,6250.0
Sulawesi Tengah,1064.0,1939.0,1199.0,642.0,1797.0,1721.0,2385.0
Sulawesi Tenggara,617.0,1457.0,916.0,646.0,878.0,1508.0,4749.0
Sulawesi Utara,1601.0,2369.0,1302.0,1240.0,2285.0,2742.0,5052.0
Sumatera Barat,2215.0,2279.0,1185.0,648.0,3968.0,1908.0,2839.0
Sumatera Selatan,2410.0,2807.0,2430.0,1101.0,2771.0,2898.0,6150.0
Sumatera Utara,5647.0,7772.0,3320.0,2886.0,8464.0,4554.0,9478.0
