Year-Month,Temp,Humidity,Percipitation,Dengue_count
2015-01,,,,883
2015-02,,,,1164
2015-03,,,,1619
2015-04,,,,2152
2015-05,,,,1849
2015-06,,,,1288
2015-07,,,,760
2015-08,,,,432
2015-09,,,,442
2015-10,,,,443
2015-11,,,,392
2015-12,,,,535
2016-01,,,,2020
2016-02,,,,4003
2016-03,,,,5807
2016-04,,,,7295
2016-05,,,,4303
2016-06,,,,3142
2016-07,,,,2274
2016-08,,,,2461
2016-09,,,,2052
2016-10,,,,2100
2016-11,,,,2272
2016-12,,,,1860
2017-01,,,,759
2017-02,,,,410
2017-03,,,,537
2017-04,,,,504
2017-05,,,,430
2017-06,,,,210
2017-07,,,,178
2017-08,,,,142
2017-09,,,,95
2017-10,,,,256
2017-11,,,,241
2017-12,,,,205
2018-01,,,,3162
2018-02,,,,4035
2018-03,,,,5644
2018-04,,,,4652
2018-05,,,,4034
2018-06,,,,2356
2018-07,,,,1180
2018-08,,,,622
2018-09,,,,407
2018-10,,,,371
2018-11,,,,440
2018-12,,,,578
2019-01,,,,2687
2019-02,,,,3209
2019-03,,,,4048
2019-04,,,,3207
2019-05,,,,2821
2019-06,,,,1700
2019-07,,,,794
2019-08,,,,370
2019-09,,,,244
2019-10,,,,225
2019-11,,,,275
2019-12,,,,351
2020-01,,,,275
2020-02,,,,628
2020-03,,,,1310
2020-04,,,,1028
2020-05,,,,717
2020-06,,,,350
2020-07,,,,140
2020-08,,,,75
2020-09,,,,50
2020-10,,,,36
2020-11,,,,59
2020-12,,,,60
