Provinsi di Indonesia,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa)
,2023
Aceh,5409.2
Sumatera Utara,15180.5
Sumatera Barat,5677.6
Riau,6555.8
Kep. Riau,2121.5
Jambi,3633.2
Sumatera Selatan,8647.3
Kep. Bangka Belitung,1492
Bengkulu,2059.4
Lampung,4496.6
DKI Jakarta,10640
Jawa Barat,49306.8
Banten,12167
Jawa Tengah,37180.4
DI Yogyakarta,3712.6
Jawa Timur,41230
Kalimantan Barat,5549.7
Kalimantan Tengah,2737.2
Kalimantan Selatan,4170.2
Kalimantan Timur,3856.8
Kalimantan Utara,720.1
Sulawesi Utara,2660.8
Gorontalo,1198.4
Sulawesi Tengah,3051.2
Sulawesi Selatan,9260.1
Sulawesi Barat,1458.9
Sulawesi Tenggara,2704.6
Bali,4374.3
Nusa Tenggara Barat,5474
Nusa Tenggara Timur,5481.8
Maluku,1895.1
Maluku Utara,1318.5
Papua Barat,1168.4
Papua,4429.7
Indonesia,275719.9
