year,month,Temp,Humidity,Percipitation
2019,1,28.3,80,365.5
2019,2,28.5,80.2,216.9
2019,3,28.3,78.4,332.1
2019,4,29.1,78.4,132.5
2019,5,29.8,73.8,24.7
2019,6,29.2,71.9,5
2019,7,28.7,68.5,0
2019,8,28.3,68.6,0
2019,9,28.9,68.7,0
2019,10,29.5,69,1
2019,11,29.7,71,80
2019,12,28.7,79.1,509.3
2020,1,28.28,82,607.2
2020,2,27.92,83,784.5
2020,3,28.75,78,211.1
2020,4,29.48,78,142.2
2020,5,29.72,75,52.5
2020,6,29.61,74,63.3
2020,7,29.06,71,99.9
2020,8,29.34,70,77.9
2020,9,29.45,70,131.9
2020,10,29.15,73,98.3
2020,11,29.11,75,114.6
2020,12,28.13,74,236.5
2021,1,27.5,81.8,332.4
2021,2,27.7,83,466.8
2021,3,28.5,78.3,190.1
2021,4,29.1,76.1,88.6
2021,5,29.7,76,249.7
2021,6,28.9,79,130.6
2021,7,29.1,72.8,47
2021,8,29.3,72.1,65.6
2021,9,29.4,72.7,83.4
2021,10,29.4,73.5,247.2
2021,11,28.8,76.3,52
2021,12,28.5,79.6,162.9
2022,1,27.64,78.4,373.075
2022,2,27.91,82,490.65
2022,3,28.825,79.15,255.075
2022,4,29.29,75.55,138.275
2022,5,29.81,76,90.35
2022,6,29.255,78,58.5
2022,7,29.38,72.4,36.725
2022,8,29.72,72.05,47.375
2022,9,29.675,69.85,61.25
2022,10,29.125,71.25,103.7
2022,11,28.755,76.15,109.575
2022,12,28.115,76.3,236.325
2023,1,27.488,75,268.2
2023,2,27.912,81,496.1
2023,3,28.99,80,246.7
2023,4,29.328,75,76.9
2023,5,29.862,76,117.7
2023,6,29.296,77,90.6
2023,7,29.596,72,11.7
2023,8,30.064,72,0
2023,9,29.88,67,2.7
2023,10,29,69,8888
2023,11,28.576,76,204.1
2023,12,27.938,73,7
