Province,"Incidence Rate (per 100,000)"
Kalimantan Utara,181.31
Kalimantan Timur,156.88
Bali,127.49
Kepulauan Bangka Belitung,125.26
Kepulauan Riau,91.25
Sulawesi Utara,86.57
DKI Jakarta,75.97
Jawa Barat,72.29
Sumatera Barat,70.9
Bengkulu,65.7
Nusa Tenggara Barat,60.7
Sulawesi Tengah,59.59
Sumatera Utara,56.54
Nusa Tenggara Timur,54.67
DI Yogyakarta,53.81
Lampung,53.69
Maluku Utara,48.47
Gorontalo,48.12
Sulawesi Barat,47.77
Banten,39.87
Sulawesi Selatan,39.48
Aceh,37.6
Jambi,37.47
Jawa Tengah,35.55
Riau,33.0
Sulawesi Tenggara,32.99
Jawa Timur,32.8
Sumatera Selatan,32.42
Kalimantan Tengah,32.27
Papua Barat,28.4
Kalimantan Barat,26.51
Kalimantan Selatan,23.2
Papua,15.3
Maluku,5.26
Indonesia (national average),52.12
