Province,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aceh,30.17,52.02,49.93,29.03,44.42,0,6.7,37.6,38.86,60.85
Bali,257.75,515.9,52.61,21.06,114.8,273.1,59.8,127.49,155.32,336.83
Banten,25.19,50.31,19.95,8.06,22.55,22.1,16.3,39.87,30.94,100.93
Bengkulu,53.49,91.66,17.53,72.28,74.25,63.2,31.1,65.7,44.96,149.17
DI Yogyakarta,92.96,167.89,21.6,14.38,85.9,93.2,29.9,53.81,17.18,97.59
DKI Jakarta,48.67,198.71,10.93,28.33,82.45,44.6,29,75.97,36.27,122.53
Gorontalo,20.38,64.83,3.97,68.58,101.53,78,46.6,48.12,56.23,189.52
Indonesia (national average),50.75,78.85,26.1,24.75,51.53,40,27,52.12,41.36,91.93
Jambi,39.8,44.9,39.95,20.17,59.54,55.7,9.8,37.47,38.05,61.92
Jawa Barat,45.47,77.31,32.29,17.94,47.62,45.3,47.8,72.29,37.77,118.8
Jawa Tengah,48.55,42.26,20.85,9.08,26.28,16.3,12.8,35.55,18.89,49.79
Jawa Timur,51.84,62.65,43.65,21.39,46.34,21.5,16.8,32.8,23.19,78.83
Kalimantan Barat,23.28,12.09,62.57,61.92,55.2,15.3,12.9,26.51,170.62,47.43
Kalimantan Selatan,91.93,101.06,43.14,47.84,56.1,41.1,4.1,23.2,69.49,72.3
Kalimantan Tengah,60.2,65.05,23.61,84.39,59.52,24.2,6.9,32.27,173.09,142
Kalimantan Timur,188.46,305.95,28.12,87.81,180.66,60.6,78.1,156.88,147.33,284.06
Kalimantan Utara,112,158.53,8.04,24.01,239,67,23.8,181.31,131.84,84.71
Kepulauan Bangka Belitung,45.38,34.95,31.95,52.06,67.97,75.4,58.1,125.26,87.3,124.09
Kepulauan Riau,90.98,97.77,35.08,56.35,85.17,78.2,80.9,91.25,28.95,64.95
Lampung,38.74,55.04,18.38,34.31,66.42,74.8,26.4,53.69,24.91,102.76
Maluku,4.63,21.16,3.06,17.87,13.09,4.2,9.4,5.26,14.23,21.41
Maluku Utara,10.24,25.04,17.81,8.92,95.16,33.2,25.1,48.47,61.53,82.61
Nusa Tenggara Barat,25.89,52.8,33.74,10.67,58.6,92.1,50.9,60.7,63.55,76.53
Nusa Tenggara Timur,9.88,19.51,13.2,24.82,74.39,107.7,45.4,54.67,46.25,68.65
Papua,20.54,35.23,37.77,5.81,17.67,5,2.9,15.3,25.04,54.16
Papua Barat,7.57,11.75,8.24,24.32,36.89,16.6,14.6,28.4,186.42,66.07
Riau,51.4,64.14,28.96,13.47,59.18,41.4,14.7,33,29.51,43.26
Sulawesi Barat,37.9,66.82,5.22,39.25,57.67,44.8,24.3,47.77,83.17,171.67
Sulawesi Selatan,46.64,89.29,105.95,24.1,36.89,30.4,40,39.48,29.72,66.04
Sulawesi Tengah,54.61,79.2,28.95,35.44,63.75,38.4,21.5,59.59,56.4,76.41
Sulawesi Tenggara,60.01,123.34,30.81,23.51,54.68,32.8,24.6,32.99,55.76,170.04
Sulawesi Utara,30.26,,19.96,64.72,94.97,48.2,47.3,86.57,103.04,186.98
Sumatera Barat,73.24,75.75,46.42,40.93,41.59,20.3,11.7,70.9,33.61,48.65
Sumatera Selatan,42.17,47.19,14.94,28.72,33.04,27.5,13,32.42,33.51,69.59
Sumatera Utara,37.84,61.11,37.35,39.01,53.09,21.3,19.5,56.54,30,60.8
